"genus","species","specimen","individual","counter","bud","flwr","immFrt","fillFrt","infFrt","unfFrt","infFlwr","infImmFrt","infBud","unkRepStr"
"c","coulteri","172732","1","mb",14,15,5,6,2,0,0,0,0,0
"c","coulteri","172734","1","mb",1,6,2,1,0,1,0,0,0,0
"c","coulteri","172734","2","mb",0,4,1,3,0,0,1,0,0,0
"c","coulteri","172734","3","mb",2,6,1,0,2,0,0,0,0,0
"c","coulteri","172736","1","mb",0,2,14,12,0,6,0,0,0,0
"c","coulteri","172737","1","mb",3,14,3,4,0,0,0,1,0,0
"c","coulteri","172737","2","an",0,6,4,2,0,0,1,2,0,0
"c","coulteri","172737","3","an",1,8,3,5,0,0,1,1,0,0
"c","coulteri","172737","4","an",0,7,3,2,0,0,0,0,4,0
"c","coulteri","172739","1","an",0,7,3,0,1,0,1,0,2,0
"c","coulteri","172762","1","an",8,5,0,0,0,0,1,4,0,0
"c","coulteri","172762","2","an",3,3,0,0,0,0,1,5,0,0
"c","coulteri","172762","3","an",4,11,0,0,0,0,0,7,0,0
"c","coulteri","208351","1","an",0,28,17,18,0,0,1,3,0,0
"c","coulteri","208351","2","an",1,1,1,0,0,0,0,0,0,0
"c","coulteri","208352","1","an",0,31,6,4,0,0,0,0,10,0
"c","coulteri","208352","2","an",0,6,2,0,0,0,0,0,2,0
"c","coulteri","295209","1","an",8,9,8,3,0,0,1,0,1,0
"c","coulteri","295229","1","an",10,9,1,0,0,0,0,0,7,0
"c","coulteri","303049","1","mb",1,8,3,0,0,0,0,0,0,0
"c","coulteri","303049","2","ej",2,2,0,0,0,0,0,0,0,0
"c","coulteri","303049","3","ej",2,5,0,3,0,0,0,1,0,0
"c","coulteri","303050","1","ej",0,4,1,0,0,0,0,0,0,0
"c","coulteri","303050","2","ej",1,4,0,0,0,0,0,0,0,0
"c","coulteri","303051","1","ej",2,15,0,8,1,6,1,0,0,0
"c","coulteri","303051","2","ej",1,9,3,3,1,0,0,0,0,0
"c","coulteri","1334248","1","EJD",10,4,17,7,0,0,0,0,0,0
"c","coulteri","1367098","1","EJD",4,9,0,6,0,0,0,0,0,0
"c","coulteri","1367098","2","EJD",6,8,3,1,0,0,1,0,0,0
"c","coulteri","1367099","1","EJD",1,34,10,3,0,2,0,0,0,0
"c","coulteri","1367100","1","EJD",2,8,1,1,0,0,1,0,0,0
"c","coulteri","1367100","2","EJD",2,5,1,4,0,3,0,2,0,1
"c","coulteri","1367101","1","mc",0,16,1,0,0,0,2,0,0,0
"c","coulteri","1367101","2","mc",0,9,4,7,0,0,2,2,0,0
"c","coulteri","1367102","1","EJD",13,8,0,0,0,0,1,0,0,0
"c","coulteri","1367102","2","EJD",25,9,0,0,0,0,3,0,0,0
"c","coulteri","1367103","1","EJD",10,31,2,10,0,0,0,0,0,0
"c","coulteri","1367104","1","EJD",14,14,2,1,0,0,0,0,0,0
"c","coulteri","1384302","1","EJD",1,0,2,1,0,1,0,0,0,0
"c","coulteri","1384302","2","EJD",2,5,0,0,0,0,0,0,0,0
"c","coulteri","1401880","1","EJD",5,11,1,1,0,0,0,0,0,0
"c","coulteri","1401918","1","EJD",15,5,0,0,0,0,1,0,0,0
"c","coulteri","1401918","2","EJD",2,4,0,0,0,0,0,0,0,0
"c","coulteri","1402006","1","EJD",16,10,1,0,0,0,0,0,0,0
"c","coulteri","1404792","1","EJD",15,13,8,6,0,0,1,0,0,0
"c","coulteri","1405383","1","EJD",14,8,3,1,0,0,0,0,0,0
"c","coulteri","1405383","2","EJD",10,10,2,0,0,0,0,0,0,0
"c","coulteri","1405736","1","EJD",7,6,9,9,1,3,1,2,0,0
"c","coulteri","1405736","2","EJD",13,14,3,2,0,0,0,0,0,0
"c","coulteri","1893550","1","EJD",0,8,6,4,1,0,0,0,0,0
"c","coulteri","1893551","1","EJD",5,12,4,5,1,2,5,2,1,0
"c","coulteri","1893552","1","EJD",6,8,1,0,0,0,0,0,0,0
"c","coulteri","1893552","2","EJD",1,8,1,0,0,0,0,0,0,0
"c","coulteri","1893553","1","EJD",4,7,0,0,0,0,0,0,0,0
"c","coulteri","1893553","2","EJD",8,6,0,0,0,0,0,0,0,0
"c","coulteri","1893554","1","EJD",14,5,1,0,0,0,1,0,0,0
"c","coulteri","1893554","2","EJD",2,1,0,0,0,0,0,0,0,0
"c","coulteri","1893556","1","EJD",4,5,1,5,0,1,0,1,0,0
"c","coulteri","1893556","2","EJD",5,7,3,4,0,0,0,0,0,0
"c","coulteri","1893557","1","EJD",5,1,0,0,0,0,0,0,0,0
"c","coulteri","1893557","2","EJD",16,5,0,0,0,0,0,0,0,0
"c","coulteri","1893557","3","EJD",5,1,0,0,0,0,0,0,0,0
"c","coulteri","1893557","4","EJD",6,1,0,0,0,0,0,0,0,0
"c","coulteri","1893559","1","EJD",9,6,1,0,0,0,0,0,0,0
"c","coulteri","1893559","2","EJD",7,3,0,0,0,0,0,0,0,0
"c","coulteri","1893559","3","EJD",6,5,0,0,0,0,0,0,0,0
"c","coulteri","1893561","1","EJD",8,20,1,4,0,0,0,2,0,0
"c","coulteri","1893562","1","EJD",9,9,0,0,0,0,0,0,0,0
"c","coulteri","1893562","2","EJD",6,2,0,0,0,0,0,0,0,0
"c","coulteri","1893562","3","EJD",7,2,0,0,0,0,0,0,0,0
"c","coulteri","1893564","1","EJD",35,10,0,0,0,0,0,0,0,0
"c","coulteri","1893565","1","EJD",3,9,1,2,0,0,0,0,0,0
"c","coulteri","1893565","2","EJD",2,6,0,0,0,0,0,0,0,0
"c","coulteri","1893566","1","EJD",0,10,3,9,0,0,0,0,0,0
"c","coulteri","1893567","1","EJD",2,7,2,3,0,0,0,0,0,0
"c","coulteri","1893567","1","mc",4,6,2,3,0,0,0,0,0,0
"c","coulteri","1893567","2","EJD",1,4,1,3,0,0,0,0,0,0
"c","coulteri","1893568","1","EJD",6,11,0,3,0,2,1,0,0,0
"c","coulteri","1893569","1","EJD",4,10,5,4,0,0,0,4,0,0
"c","coulteri","1893569","2","EJD",10,1,0,0,0,0,0,0,0,0
"c","coulteri","1893569","3","EJD",7,5,2,0,0,0,0,0,0,0
"c","coulteri","2034330","1","EJD",6,7,2,0,0,0,0,0,0,0
"c","coulteri","2034330","2","EJD",8,3,0,0,0,0,0,0,0,0
"c","coulteri","2072864","1","EJD",12,8,10,11,6,3,0,0,0,0
"c","coulteri","2262339","1","EJD",6,10,0,0,0,0,1,0,0,0
"c","coulteri","2262339","2","EJD",8,15,3,0,0,0,0,0,0,0
"c","coulteri","2262340","1","EJD",1,5,0,0,0,0,0,0,0,0
"c","coulteri","2262340","2","EJD",5,5,0,0,0,0,0,0,0,0
"c","coulteri","2262341","1","EJD",0,3,3,2,0,0,0,0,0,0
"c","coulteri","2262341","2","EJD",0,1,1,1,0,0,0,0,0,0
"c","coulteri","2262342","1","EJD",15,6,0,0,0,0,0,0,0,0
"c","coulteri","2262342","2","EJD",0,4,0,0,0,0,2,0,0,3
"c","coulteri","2262342","3","EJD",3,7,0,0,0,0,0,0,0,0
"c","coulteri","2262343","1","EJD",5,9,0,0,0,0,0,0,0,0
"c","coulteri","2262343","2","EJD",8,4,0,0,0,0,0,0,0,0
"c","coulteri","2262344","1","EJD",8,13,1,4,0,0,0,0,0,0
"c","coulteri","2269030","1","EJD",2,9,1,0,0,0,0,0,0,0
"c","coulteri","2269030","2","EJD",2,4,0,0,0,0,0,0,0,0
"c","coulteri","2269030","3","EJD",4,3,0,0,0,0,1,0,0,0
"c","coulteri","303052","1","EJD",1,4,2,1,0,0,0,0,0,0
"c","coulteri","303052","2","EJD",2,4,2,3,0,0,0,0,0,0
"c","coulteri","303052","3","EJD",0,4,2,3,0,1,1,0,2,0
"c","coulteri","303053","1","EJD",11,24,4,1,0,0,0,1,2,0
"c","coulteri","303053","2","EJD",6,9,0,0,0,0,3,0,0,4
"c","coulteri","303054","1","EJD",1,4,1,3,0,0,0,0,0,0
"c","coulteri","303054","2","EJD",1,6,0,3,0,0,0,0,0,0
"c","coulteri","303054","3","EJD",3,3,0,0,0,0,0,0,0,0
"c","coulteri","303054","4","EJD",0,0,2,2,0,0,0,0,0,0
